Poster_Link,Series_Title,Genre,Director,metadata,metadata-prep,metadata-prep-lemm
"https://m.media-amazon.com/images/M/MV5BN2IzM2I5NTQtMTIyMy00YWM2LWI1OGMtNjI0MWIyNDZkZGFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",La montaña sagrada,"Adventure, Drama, Fantasy",Alejandro Jodorowsky,"Adventure, Drama, Fantasy Alejandro Jodorowsky Alejandro Jodorowsky Horacio Salinas Zamira Saunders Juan Ferrara In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment.",adventure drama fantasy alejandro jodorowsky alejandro jodorowsky horacio salinas zamira saunders juan ferrara corrupt greedfueled world powerful alchemist leads messianic character seven materialistic figures holy mountain hope achieve enlightenment,adventure drama fantasy alejandro jodorowsky alejandro jodorowsky horacio salina zamira saunders juan ferrara corrupt greedfueled world powerful alchemist lead messianic character seven materialistic figure holy mountain hope achieve enlightenment
"https://m.media-amazon.com/images/M/MV5BZDI2OTg2NDQtMzc0MC00MjRiLWI1NzAtMjY2ZDMwMmUyNzBiXkEyXkFqcGdeQXVyNzM0MTUwNTY@._V1_UX67_CR0,0,67,98_AL_.jpg",Amarcord,"Comedy, Drama, Family",Federico Fellini,"Comedy, Drama, Family Federico Fellini Magali Noël Bruno Zanin Pupella Maggio Armando Brancia A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.",comedy drama family federico fellini magali noël bruno zanin pupella maggio armando brancia series comedic nostalgic vignettes set italian coastal town,comedy drama family federico fellini magali noël bruno zanin pupella maggio armando brancia series comedic nostalgic vignette set italian coastal town
"https://m.media-amazon.com/images/M/MV5BYzQ5NjJiYWQtYjAzMC00NGU0LWFlMDYtNGFiYjFlMWI1NWM0XkEyXkFqcGdeQXVyODQ0OTczOQ@@._V1_UY98_CR4,0,67,98_AL_.jpg",Le charme discret de la bourgeoisie,Comedy,Luis Buñuel,"Comedy Luis Buñuel Fernando Rey Delphine Seyrig Paul Frankeur Bulle Ogier A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together.",comedy luis buñuel fernando rey delphine seyrig paul frankeur bulle ogier surreal virtually plotless series dreams centered around six middleclass people consistently interrupted attempts meal together,comedy luis buñuel fernando rey delphine seyrig paul frankeur bulle ogier surreal virtually plotless series dream centered around six middleclass people consistently interrupted attempt meal together
"https://m.media-amazon.com/images/M/MV5BMjRkY2VhYzMtZWQyNS00OTY2LWE5NTAtYjlhNmQyYzE5MmUxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg","Aguirre, der Zorn Gottes","Action, Adventure, Biography",Werner Herzog,"Action, Adventure, Biography Werner Herzog Klaus Kinski Ruy Guerra Helena Rojo Del Negro In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado.",action adventure biography werner herzog klaus kinski ruy guerra helena rojo del negro th century ruthless insane lope de aguirre leads spanish expedition search el dorado,action adventure biography werner herzog klaus kinski ruy guerra helena rojo del negro th century ruthless insane lope de aguirre lead spanish expedition search el dorado
"https://m.media-amazon.com/images/M/MV5BY2M5Mzg3NjctZTlkNy00MTU0LWFlYTQtY2E2Y2M4NjNiNzllXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX67_CR0,0,67,98_AL_.jpg",Harold and Maude,"Comedy, Drama, Romance",Hal Ashby,"Comedy, Drama, Romance Hal Ashby Ruth Gordon Bud Cort Vivian Pickles Cyril Cusack Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.",comedy drama romance hal ashby ruth gordon bud cort vivian pickles cyril cusack young rich obsessed death harold finds changed forever meets lively septuagenarian maude funeral,comedy drama romance hal ashby ruth gordon bud cort vivian pickle cyril cusack young rich obsessed death harold find changed forever meet lively septuagenarian maude funeral
"https://m.media-amazon.com/images/M/MV5BMmNhZmJhMmYtNjlkMC00MjhjLTk1NzMtMTNlMzYzNjZlMjNiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",Patton,"Biography, Drama, War",Franklin J. Schaffner,"Biography, Drama, War Franklin J. Schaffner George C. Scott Karl Malden Stephen Young Michael Strong The World War II phase of the career of controversial American general George S. Patton.",biography drama war franklin j schaffner george c scott karl malden stephen young michael strong world war ii phase career controversial american general george patton,biography drama war franklin j schaffner george c scott karl malden stephen young michael strong world war ii phase career controversial american general george patton
"https://m.media-amazon.com/images/M/MV5BNGUyYTZmOWItMDJhMi00N2IxLWIyNDMtNjUxM2ZiYmU5YWU1XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",The Wild Bunch,"Action, Adventure, Western",Sam Peckinpah,"Action, Adventure, Western Sam Peckinpah William Holden Ernest Borgnine Robert Ryan Edmond O'Brien An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.",action adventure western sam peckinpah william holden ernest borgnine robert ryan edmond obrien aging group outlaws look one last big score traditional american west disappearing around,action adventure western sam peckinpah william holden ernest borgnine robert ryan edmond obrien aging group outlaw look one last big score traditional american west disappearing around
"https://m.media-amazon.com/images/M/MV5BMzRmN2E1ZDUtZDc2ZC00ZmI3LTkwOTctNzE2ZDIzMGJiMTYzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",Night of the Living Dead,"Horror, Thriller",George A. Romero,"Horror, Thriller George A. Romero Duane Jones Judith O'Dea Karl Hardman Marilyn Eastman A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the East Coast of the United States.",horror thriller george romero duane jones judith odea karl hardman marilyn eastman ragtag group pennsylvanians barricade old farmhouse remain safe horde flesheating ghouls ravaging east coast united states,horror thriller george romero duane jones judith odea karl hardman marilyn eastman ragtag group pennsylvanian barricade old farmhouse remain safe horde flesheating ghoul ravaging east coast united state
"https://m.media-amazon.com/images/M/MV5BMTkzNzYyMzA5N15BMl5BanBnXkFtZTgwODcwODQ3MDI@._V1_UX67_CR0,0,67,98_AL_.jpg",The Lion in Winter,"Biography, Drama, History",Anthony Harvey,"Biography, Drama, History Anthony Harvey Peter O'Toole Katharine Hepburn Anthony Hopkins John Castle 1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. They and his wife variously plot to force him.",biography drama history anthony harvey peter otoole katharine hepburn anthony hopkins john castle ad king henry iis three sons want inherit throne not commit choice wife variously plot force,biography drama history anthony harvey peter otoole katharine hepburn anthony hopkins john castle ad king henry ii three son want inherit throne not commit choice wife variously plot force
"https://m.media-amazon.com/images/M/MV5BZjZhZTZkNWItZGE1My00MTRkLWI2ZDktMWZkZTIxZWYxOTgzXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_UX67_CR0,0,67,98_AL_.jpg",In the Heat of the Night,"Crime, Drama, Mystery",Norman Jewison,"Crime, Drama, Mystery Norman Jewison Sidney Poitier Rod Steiger Warren Oates Lee Grant A black police detective is asked to investigate a murder in a racially hostile southern town.",crime drama mystery norman jewison sidney poitier rod steiger warren oates lee grant black police detective asked investigate murder racially hostile southern town,crime drama mystery norman jewison sidney poitier rod steiger warren oates lee grant black police detective asked investigate murder racially hostile southern town
